Topic 1
	makes	0.00698284
	states	0.00665042
	leaders	0.00651745
	past	0.00631799
	country	0.00625151
	view	0.00605206
	put	0.00571963
Topic 15
	jobs	0.0316701
	economy	0.0201225
	economic	0.016432
	growth	0.0134558
	job	0.0132177
	rate	0.0125034
	year	0.0121463
	numbers	0.0103606
	number	0.0100034
	month	0.0096463
	market	0.00797964
	workers	0.00774154
	report	0.00774154
	labor	0.00750345
	average	0.00750345
	million	0.00726535
	reported	0.00702726
	current	0.00631297
	news	0.00631297
	data	0.00583678
Topic 16
	bush	0.0890886
	house	0.0456991
	white	0.0378908
	president	0.0327444
	administration	0.0260895
	bushs	0.0177488
	press	0.0161516
	washington	0.0124249
	conference	0.0104728
	news	0.00958553
	time	0.0094968
	monday	0.00754472
	friday	0.00701233
	reporters	0.0069236
	statement	0.00639121
	put	0.00603629
	wednesday	0.00577009
	response	0.00577009
	george	0.00577009
	spokesman	0.00559263
Topic 17
	bush	0.0311386
	bin	0.0247411
	war	0.0230351
	terrorists	0.0206183
	iraq	0.0203339
	laden	0.0201918
	terrorist	0.0153581
	osama	0.0136521
	attack	0.0136521
	saudi	0.0132256
	terrorism	0.0125148
	terror	0.00910278
	america	0.00867628
	qaeda	0.00839195
	administration	0.00839195
	islamic	0.00824978
	qaida	0.00711245
	country	0.00711245
	saddam	0.00697028
	safer	0.00682811
Topic 18
	iraq	0.0456047
	war	0.0402144
	weapons	0.0264154
	bush	0.0231812
	saddam	0.0217797
	united	0.0155271
	threat	0.0138022
	states	0.0126163
	mass	0.0124007
	powell	0.0113227
	hussein	0.0106758
	destruction	0.00981339
	administration	0.00970558
	blair	0.00927436
	peace	0.00884314
	iraqi	0.00862753
	military	0.00851972
	intelligence	0.00841192
	american	0.00819631
	state	0.00711826
Topic 19
	delay	0.0657899
	house	0.0459552
	texas	0.0328973
	committee	0.0249635
	ethics	0.0203354
	republican	0.016699
	tom	0.0162031
	republicans	0.0128973
	majority	0.0125668
	delays	0.0120709
	elections	0.0107486
	leader	0.00942627
	political	0.00859983
	morrison	0.00793867
	redistricting	0.00777338
	congressional	0.00777338
	investigation	0.00760809
	rep	0.00760809
	complaint	0.00711222
	district	0.00661636
Topic 20
	senate	0.0516046
	carson	0.0385327
	republican	0.0294167
	oklahoma	0.0294167
	illinois	0.0270088
	coburn	0.0270088
	state	0.0230528
	obama	0.0211608
	elections	0.0180648
	race	0.0177208
	brad	0.0166888
	ryan	0.0149689
	keyes	0.0147969
	candidate	0.0103249
	republicans	0.0096369
	gop	0.00860491
	oksen	0.00791692
	barack	0.00774492
	seat	0.00722892
	city	0.00722892
Topic 21
	iraq	0.0441617
	iraqi	0.0286421
	baghdad	0.0168713
	war	0.0125228
	forces	0.0123728
	iraqis	0.0122979
	killed	0.0113232
	military	0.0112482
	fallujah	0.0106484
	american	0.0105735
	troops	0.00809934
	city	0.00749955
	officials	0.0070497
	attacks	0.00697473
	soldiers	0.00689976
	insurgents	0.00629997
	government	0.00615002
	coalition	0.00607505
	shiite	0.00600007
	saddam	0.00585012
Topic 22
	senate	0.0718262
	race	0.0362997
	knowles	0.021294
	elections	0.0207809
	colorado	0.0194984
	bunning	0.015779
	primary	0.015266
	salazar	0.0133422
	state	0.0125727
	murkowski	0.0124444
	mongiardo	0.0114184
	poll	0.0107771
	seat	0.0102641
	republican	0.0100076
	campaign	0.00987931
	dscc	0.00936629
	senator	0.00923804
	gop	0.00885327
	carolina	0.00872502
	alaska	0.00872502
Topic 23
	war	0.0717546
	iraq	0.063496
	troops	0.0255776
	soldiers	0.0132341
	bushs	0.0116356
	military	0.00950439
	forces	0.00879398
	wars	0.00870517
	united	0.00684033
	nations	0.00666273
	country	0.00648512
	dead	0.00639632
	americans	0.00639632
	states	0.00612991
	killed	0.00604111
	american	0.00604111
	month	0.00586351
	casualties	0.0056859
	fight	0.0056859
	afghanistan	0.0055971
Topic 24
	bush	0.0713362
	cheney	0.0672909
	president	0.0581215
	vice	0.0226576
	dick	0.018882
	general	0.0179381
	george	0.0165897
	administration	0.0144322
	lies	0.00944296
	truth	0.00849905
	oct	0.00849905
	cheneys	0.00782483
	years	0.00768999
	edwards	0.00755515
	telling	0.00715061
	knew	0.00701577
	people	0.00634155
	lying	0.00620671
	asked	0.00620671
	lie	0.00607187
Topic 25
	convention	0.0650542
	speech	0.0343407
	republican	0.028198
	republicans	0.0223703
	democrats	0.0201652
	party	0.0173301
	gop	0.01481
	national	0.0143375
	bloggers	0.01292
	boston	0.012605
	democratic	0.0115024
	jul	0.0107149
	media	0.0103999
	conservative	0.0100849
	rnc	0.00976988
	speaking	0.00772231
	york	0.0072498
	aug	0.00646227
	platform	0.00630477
	night	0.00630477
Topic 26
	states	0.0467844
	state	0.0424529
	governor	0.0298916
	california	0.0197847
	virginia	0.0144425
	west	0.0121324
	political	0.0118436
	blue	0.00996664
	red	0.00982226
	catholic	0.00967787
	time	0.00938911
	missouri	0.00895596
	north	0.00866719
	gov	0.00837842
	south	0.00808966
	year	0.00765651
	michigan	0.00736774
	alabama	0.00736774
	southern	0.00736774
	maine	0.00664582
Topic 27
	marriage	0.0275219
	gay	0.0245365
	rights	0.0227192
	issue	0.0224596
	amendment	0.021551
	law	0.0190848
	civil	0.0132436
	ban	0.012984
	abortion	0.012984
	support	0.0124648
	constitution	0.0105178
	state	0.0102582
	federal	0.00999857
	act	0.00947936
	bush	0.00947936
	constitutional	0.00883034
	hate	0.00870054
	decision	0.00792172
	steel	0.00753232
	republicans	0.00727271
Topic 28
	november	0.0678136
	poll	0.0160929
	house	0.0140663
	republicans	0.0130935
	polls	0.0128097
	account	0.0128097
	electoral	0.0125665
	governor	0.0125665
	senate	0.0125665
	turnout	0.0109047
	ground	0.0102967
	contact	0.0100129
	trouble	0.00956706
	parecommend	0.00956706
	duderino	0.00952653
	exit	0.00891853
	vote	0.00790519
	primary	0.00774306
	profile	0.00729719
	consistent	0.00693239
Topic 29
	dean	0.0926336
	kerry	0.0375685
	iowa	0.0359632
	primary	0.033234
	democratic	0.0250465
	edwards	0.0214343
	deans	0.0195881
	clark	0.0184644
	candidates	0.0144509
	howard	0.0124441
	caucus	0.0114809
	gephardt	0.0104374
	campaign	0.0102768
	john	0.00995577
	jan	0.00971496
	candidate	0.00971496
	win	0.00947415
	hampshire	0.0082701
	race	0.00810956
	feb	0.0080293
Topic 30
	republicans	0.0539941
	democrats	0.048428
	republican	0.0392997
	senate	0.0339562
	democratic	0.0249392
	party	0.0233807
	gop	0.0232694
	bill	0.0201524
	daschle	0.0150316
	democrat	0.0130278
	vote	0.0126939
	sen	0.011358
	house	0.0104674
	committee	0.0103561
	leader	0.0103561
	congress	0.00968818
	thune	0.00868629
	john	0.00846365
	senators	0.00779572
	majority	0.00779572
Topic 31
	bush	0.0324002
	kerry	0.0267553
	service	0.0241783
	military	0.0216013
	national	0.0213559
	guard	0.0197606
	war	0.0154656
	bushs	0.0146066
	kerrys	0.0146066
	vietnam	0.0144839
	veterans	0.0143611
	records	0.0136249
	duty	0.0128886
	texas	0.0119069
	boat	0.0116614
	air	0.0111706
	swift	0.0109251
	general	0.00945257
	record	0.00932985
	john	0.00810271
Topic 32
	percent	0.122675
	poll	0.0573332
	voters	0.0387087
	vote	0.0195639
	numbers	0.0159223
	results	0.013217
	support	0.0115523
	lead	0.0111361
	approval	0.0104078
	survey	0.00957538
	rating	0.00957538
	margin	0.00884705
	race	0.00801467
	bushs	0.00770252
	ratings	0.00770252
	percentage	0.00759848
	approve	0.00749443
	general	0.00749443
	july	0.00739038
	job	0.00739038
Topic 33
	law	0.0163727
	investigation	0.0146793
	information	0.0134375
	federal	0.010728
	justice	0.00959911
	evidence	0.00869598
	documents	0.00801862
	attorney	0.00779284
	lawyers	0.00779284
	criminal	0.00745416
	office	0.00711548
	plame	0.00711548
	allegations	0.00643813
	private	0.00643813
	judge	0.00643813
	officials	0.00632524
	legal	0.00609945
	department	0.00609945
	firm	0.00598656
	company	0.00587367
Topic 34
	campaign	0.0867086
	ads	0.0344496
	media	0.0273716
	running	0.0180523
	political	0.0178163
	negative	0.0147492
	advertising	0.0133336
	television	0.0130977
	campaigns	0.0123899
	rove	0.0105024
	attack	0.0103844
	group	0.00991258
	turn	0.00885089
	news	0.00849699
	time	0.00826105
	theyre	0.00790716
	attention	0.00743529
	gop	0.00719936
	team	0.00672749
	hit	0.00625563
Topic 35
	media	0.0455944
	news	0.0404244
	fox	0.0227211
	radio	0.0209978
	air	0.0183345
	america	0.0139478
	report	0.0117545
	film	0.0109712
	network	0.0109712
	moore	0.0098745
	sinclair	0.00971784
	cbs	0.00940451
	liberal	0.00909117
	movie	0.00893451
	stations	0.00830784
	michael	0.00799451
	watch	0.00752451
	channel	0.00752451
	clear	0.00752451
	reports	0.00736785
Topic 36
	ive	0.0182729
	ill	0.0163195
	time	0.0136768
	dkos	0.0114936
	guys	0.0114936
	oct	0.0103446
	atrios	0.00965517
	page	0.00862105
	bit	0.00839124
	check	0.00827634
	blog	0.00793163
	email	0.00758692
	top	0.00758692
	server	0.00724221
	online	0.0066677
	coming	0.0066677
